timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1526976402689,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-8,text,true,,24449,0,1,1,294,0,0
1526976403072,399,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-8,text,true,,21529,0,2,2,311,0,0
1526976403184,483,https://qa.starofservice.com/,200,OK,Thread Group 1-9,text,true,,25935,0,2,2,394,0,0
1526976403472,463,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-8,text,true,,39331,0,2,2,297,0,0
1526976403668,427,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-9,text,true,,22477,0,2,2,332,0,0
1526976403936,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-8,text,true,,21534,0,2,2,295,0,0
1526976404096,506,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-9,text,true,,36476,0,1,1,331,0,0
1526976404603,390,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-9,text,true,,23950,0,1,1,301,0,0
1526976404993,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-9,text,true,,21544,0,1,1,293,0,0
1526976405375,437,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-9,text,true,,23909,0,1,1,341,0,0
1526976405813,428,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-9,text,true,,24449,0,2,2,331,0,0
1526976406182,461,https://qa.starofservice.com/,200,OK,Thread Group 1-10,text,true,,25935,0,2,2,376,0,0
